,cos_sim,cos_mo,cos_dif,cos_mo_dif,ele_sub
797,0.05242,0.04779,0.94758,0.95221,0.00755
798,-0.04688,-0.04226,0.95312,0.95774,0.00968
799,-0.0303,-0.02743,0.9697,0.97257,0.00978
800,0.02497,0.02255,0.97503,0.97745,0.00763
801,-0.01196,-0.01079,0.98804,0.98921,0.0084
802,0.05309,0.04867,0.94691,0.95133,0.00707
803,-0.03709,-0.03373,0.96291,0.96627,0.00848
804,0.06541,0.06212,0.93459,0.93788,0.02052
805,0.06426,0.05922,0.93574,0.94078,0.02103
806,0.00292,0.00263,0.99708,0.99737,0.00791
807,0.01503,0.01362,0.98497,0.98638,0.00784
808,-0.03483,-0.03159,0.96517,0.96841,0.01024
809,-0.01929,-0.01736,0.98071,0.98264,0.00892
810,0.04821,0.04392,0.95179,0.95608,0.00754
811,-0.03955,-0.03558,0.96045,0.96442,0.00962
812,-0.03088,-0.02793,0.96912,0.97207,0.00984
813,0.03165,0.02857,0.96835,0.97143,0.00753
814,-0.00837,-0.00755,0.99163,0.99245,0.00849
815,0.05228,0.0479,0.94772,0.9521,0.00707
816,-0.02967,-0.02694,0.97033,0.97306,0.00868
817,0.06618,0.06302,0.93382,0.93698,0.0207
818,0.07398,0.06834,0.92602,0.93166,0.02009
819,-0.02257,-0.0208,0.97743,0.9792,0.00811
820,0.07109,0.06616,0.92891,0.93384,0.02097
821,0.01784,0.01618,0.98216,0.98382,0.00731
822,-0.04034,-0.03661,0.95966,0.96339,0.0102
823,-0.01933,-0.01737,0.98067,0.98263,0.00906
824,0.05552,0.05074,0.94448,0.94926,0.00746
825,-0.05267,-0.04763,0.94733,0.95237,0.00992
826,-0.04073,-0.03684,0.95927,0.96316,0.00989
827,-0.04696,-0.04315,0.95304,0.95685,0.00858
828,0.02421,0.02189,0.97579,0.97811,0.00757
829,-0.04815,-0.04358,0.95185,0.95642,0.00833
830,0.05113,0.04696,0.94887,0.95304,0.00723
831,-0.04395,-0.03995,0.95605,0.96005,0.00862
832,0.06877,0.06439,0.93123,0.93561,0.02108
833,0.05348,0.04718,0.94652,0.95282,0.00844
834,0.05001,0.04399,0.94999,0.95601,0.00856
835,0.02984,0.02819,0.97016,0.97181,0.01723
836,-0.04791,-0.04201,0.95209,0.95799,0.01079
837,-0.03398,-0.02996,0.96602,0.97004,0.00993
838,-0.02454,-0.02151,0.97546,0.97849,0.01088
839,-0.00889,-0.00774,0.99111,0.99226,0.01037
840,0.00176,0.00154,0.99824,0.99846,0.0093
841,0.05118,0.04505,0.94882,0.95495,0.00849
842,0.04771,0.04188,0.95229,0.95812,0.00862
843,0.02984,0.02826,0.97016,0.97174,0.01745
844,-0.04571,-0.03999,0.95429,0.96001,0.01087
845,-0.03232,-0.02841,0.96768,0.97159,0.01004
846,-0.02393,-0.02092,0.97607,0.97908,0.01105
847,-0.01701,-0.01478,0.98299,0.98522,0.01051
848,0.00235,0.00205,0.99765,0.99795,0.00939
849,0.05198,0.04574,0.94802,0.95426,0.00856
850,0.05517,0.04851,0.9448300000000001,0.95149,0.00861
851,0.02701,0.02597,0.97299,0.97403,0.01724
852,-0.04647,-0.04067,0.95353,0.95933,0.0106
853,-0.03675,-0.03234,0.96325,0.96766,0.01
854,-0.02213,-0.01928,0.97787,0.98072,0.00979
855,0.05024,0.04995,0.94976,0.95005,0.02497
856,-0.04702,-0.04116,0.95298,0.95884,0.01121
857,0.05115,0.04515,0.94885,0.95485,0.00847
858,0.05022,0.04423,0.94978,0.95577,0.0086
859,0.0262,0.02505,0.9738,0.97495,0.01731
860,-0.04321,-0.03796,0.95679,0.96204,0.01061
861,-0.03456,-0.03051,0.96544,0.96949,0.00992
862,-0.02096,-0.01833,0.97904,0.98167,0.00981
863,-0.00671,-0.00587,0.99329,0.99413,0.01038
864,-0.04909,-0.04311,0.95091,0.95689,0.01121
865,0.0569,0.05026,0.9431,0.94974,0.00858
866,0.06106,0.0539,0.93894,0.9460999999999999,0.00858
867,0.03183,0.03044,0.96817,0.96956,0.0171
868,-0.04776,-0.042,0.95224,0.958,0.01051
869,-0.03749,-0.03317,0.96251,0.96683,0.00989
870,-0.03018,-0.02641,0.96982,0.97359,0.00976
871,0.05181,0.0511,0.94819,0.9489,0.02442
872,-0.04165,-0.03665,0.95835,0.96335,0.01088
873,-0.08144,-0.0701,0.91856,0.9299,0.01216
874,-0.02658,-0.02292,0.97342,0.97708,0.01077
875,-0.03328,-0.02868,0.96672,0.97132,0.01117
876,-0.01659,-0.01656,0.98341,0.98344,0.02859
877,0.02236,0.01934,0.97764,0.98066,0.00846
878,0.00581,0.00491,0.99419,0.99509,0.00964
879,-0.00379,-0.00326,0.99621,0.99674,0.01098
880,0.01244,0.01071,0.98756,0.98929,0.00919
881,-0.01135,-0.01083,0.98865,0.98917,0.03121
882,-0.0177,-0.01716,0.9823,0.98284,0.03092
883,-0.03056,-0.02611,0.96944,0.97389,0.01117
